personId,season_year,personName,position,games_played,minutes_float,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,fg_percentage,three_pt_percentage,ft_percentage,avg_minutes,avg_points,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_turnovers,avg_fouls
689,2010-11,Theo Ratliff,N/A,10,70.5,1,6,0,0,0,2,6,7,13,3,2,5,3,7,2,-27,0.16666666666666666,0.0,0.0,7.05,0.2,1.3,0.3,0.2,0.5,0.3,0.7
693,2010-11,Joe Smith,F,16,69.35,3,16,0,0,2,2,3,18,21,4,0,4,5,13,8,-9,0.1875,0.0,1.0,4.334375,0.5,1.3125,0.25,0.0,0.25,0.3125,0.8125
703,2010-11,Kurt Thomas,C/F,52,1178.1666666666667,95,186,1,1,20,32,75,226,301,60,32,42,42,164,211,158,0.510752688172043,1.0,0.625,22.657051282051285,4.0576923076923075,5.788461538461538,1.1538461538461537,0.6153846153846154,0.8076923076923077,0.8076923076923077,3.1538461538461537
703,2011-12,Kurt Thomas,C,53,802.55,73,157,0,0,14,20,39,149,188,46,24,31,31,123,160,18,0.46496815286624205,0.0,0.7,15.14245283018868,3.018867924528302,3.547169811320755,0.8679245283018868,0.4528301886792453,0.5849056603773585,0.5849056603773585,2.3207547169811322
703,2012-13,Kurt Thomas,C/F,39,392.45,45,83,1,1,6,13,24,65,89,21,10,16,8,52,97,-22,0.5421686746987951,1.0,0.46153846153846156,10.062820512820512,2.4871794871794872,2.282051282051282,0.5384615384615384,0.2564102564102564,0.41025641025641024,0.20512820512820512,1.3333333333333333
708,2010-11,Kevin Garnett,F,71,2219.766666666667,434,822,1,5,187,217,83,548,631,171,95,57,115,148,1056,551,0.5279805352798054,0.2,0.8617511520737328,31.264319248826293,14.873239436619718,8.887323943661972,2.408450704225352,1.3380281690140845,0.8028169014084507,1.619718309859155,2.084507042253521
708,2011-12,Kevin Garnett,C/F,60,1864.1833333333334,391,777,3,9,162,189,66,428,494,175,56,61,107,141,947,269,0.5032175032175032,0.3333333333333333,0.8571428571428571,31.06972222222222,15.783333333333333,8.233333333333333,2.9166666666666665,0.9333333333333333,1.0166666666666666,1.7833333333333334,2.35
708,2012-13,Kevin Garnett,C/F,68,2022.2666666666667,422,850,2,16,158,201,75,455,530,159,78,62,110,154,1004,111,0.4964705882352941,0.125,0.7860696517412935,29.73921568627451,14.764705882352942,7.794117647058823,2.338235294117647,1.1470588235294117,0.9117647058823529,1.6176470588235294,2.264705882352941
708,2013-14,Kevin Garnett,C/F,54,1108.55,157,356,0,3,38,47,60,298,358,82,43,40,69,123,352,-27,0.4410112359550562,0.0,0.8085106382978723,20.5287037037037,6.518518518518518,6.62962962962963,1.5185185185185186,0.7962962962962963,0.7407407407407407,1.2777777777777777,2.2777777777777777
708,2014-15,Kevin Garnett,C/F,47,952.4833333333333,143,306,1,7,36,45,48,263,311,77,46,17,46,109,323,-24,0.4673202614379085,0.14285714285714285,0.8,20.265602836879435,6.872340425531915,6.617021276595745,1.6382978723404256,0.9787234042553191,0.3617021276595745,0.9787234042553191,2.3191489361702127
708,2015-16,Kevin Garnett,F,38,555.65,54,115,0,1,14,21,15,135,150,62,28,10,16,70,122,56,0.46956521739130436,0.0,0.6666666666666666,14.62236842105263,3.210526315789474,3.9473684210526314,1.631578947368421,0.7368421052631579,0.2631578947368421,0.42105263157894735,1.8421052631578947
711,2010-11,Jerry Stackhouse,G,7,49.75,3,12,1,4,5,7,1,6,7,3,0,2,2,3,12,-4,0.25,0.25,0.7142857142857143,7.107142857142857,1.7142857142857142,1.0,0.42857142857142855,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855
711,2011-12,Jerry Stackhouse,N/A,30,272.58333333333337,37,100,13,38,21,23,6,17,23,14,10,3,13,12,108,-4,0.37,0.34210526315789475,0.9130434782608695,9.086111111111112,3.6,0.7666666666666667,0.4666666666666667,0.3333333333333333,0.1,0.43333333333333335,0.4
711,2012-13,Jerry Stackhouse,N/A,37,543.6833333333333,66,172,30,89,20,23,5,28,33,35,7,4,24,31,182,27,0.38372093023255816,0.33707865168539325,0.8695652173913043,14.694144144144143,4.918918918918919,0.8918918918918919,0.9459459459459459,0.1891891891891892,0.10810810810810811,0.6486486486486487,0.8378378378378378
739,2012-13,Rasheed Wallace,N/A,21,296.0333333333333,55,142,22,69,14,20,11,72,83,6,13,15,10,40,146,6,0.3873239436619718,0.3188405797101449,0.7,14.096825396825395,6.9523809523809526,3.9523809523809526,0.2857142857142857,0.6190476190476191,0.7142857142857143,0.47619047619047616,1.9047619047619047
